Gene,Synonymous,HC LoF,ExACtool percentile,top expr tissue (3x more),office of rare diseases
C6orf62,30,1,1.76E-01,,
TMEM184B,87,2,1.77E-01,,
CREBZF,77,4,1.77E-01,,
ETV6,84,2,1.77E-01,,
TAOK3,121,4,1.77E-01,,
HSD3B1,73,11,1.77E-01,adrenal_gland,
RAP2C,22,1,1.77E-01,,
RFX2,143,3,1.77E-01,,
RSBN1,102,9,1.77E-01,,
NUP107,110,32,1.77E-01,,
BRPF3,186,7,1.77E-01,,
MEOX2,50,4,1.77E-01,,
PAF1,119,13,1.77E-01,,
KIAA1841,84,23,1.77E-01,,
GJA5,50,6,1.77E-01,,
PGAP3,50,4,1.77E-01,,
CCDC6,71,3,1.78E-01,,YES
ALG3,37,7,1.78E-01,,YES
LSM10,26,1,1.78E-01,,
AAAS,93,34,1.78E-01,,
ITGAV,144,16,1.78E-01,,
TTC7B,188,7,1.78E-01,,
DHODH,79,9,1.78E-01,liver,YES
GMFB,25,1,1.78E-01,,
LTBR,68,5,1.78E-01,,
S100PBP,65,7,1.78E-01,,
ASB9,36,1,1.78E-01,spleen,
ZDHHC15,36,1,1.78E-01,,
CLDN7,47,9,1.78E-01,colon,
INPP5A,96,3,1.78E-01,,
KRT32,79,22,1.79E-01,,
MTMR11,111,36,1.79E-01,,
PACS1,140,3,1.79E-01,,
GJD2,54,5,1.79E-01,,
EXTL1,114,25,1.79E-01,nerve_tibial,
KIF3A,74,2,1.79E-01,brain,
LONRF2,87,5,1.79E-01,,
ISL1,62,3,1.79E-01,,
SHROOM4,130,7,1.79E-01,,YES
SMEK1,123,3,1.79E-01,,
MYO6,147,21,1.79E-01,,
CCDC92,79,2,1.79E-01,,
HOXA3,70,7,1.79E-01,,
SDR42E1,75,19,1.79E-01,,
PLAC1,18,1,1.79E-01,,
NFKB2,122,4,1.80E-01,,
LRFN5,98,4,1.80E-01,,
CTLA4,33,1,1.80E-01,,
TAF5,95,3,1.80E-01,,
THBS4,168,32,1.80E-01,,
UROD,50,11,1.80E-01,,
SNW1,83,5,1.80E-01,,
CDK2AP1,20,1,1.80E-01,,
TADA3,82,8,1.80E-01,,
DTNA,103,10,1.80E-01,brain,
FRS2,64,2,1.80E-01,,
ENAH,80,4,1.80E-01,,
POLR3K,24,1,1.80E-01,,
SCP2,69,17,1.80E-01,liver,
TADA2B,82,2,1.81E-01,,
LIM2,51,6,1.81E-01,,
SLC7A10,116,16,1.81E-01,,
KRT77,110,24,1.81E-01,skin,
CBX7,49,2,1.81E-01,,
TUBA8,80,13,1.81E-01,,
LARP6,92,4,1.81E-01,,
GLB1L,113,26,1.81E-01,,
KRT15,101,25,1.81E-01,skin,
SPATA5,113,27,1.81E-01,,
POU2F1,110,5,1.81E-01,,
STC1,29,2,1.81E-01,,
ABI2,63,3,1.81E-01,,
FAM199X,26,1,1.81E-01,,
LMNB1,69,6,1.81E-01,,
SNED1,268,15,1.82E-01,,
SCN3B,37,2,1.82E-01,brain,
PAX1,104,11,1.82E-01,,
RFK,29,2,1.82E-01,,
UBIAD1,70,6,1.82E-01,,YES
ADCY6,186,14,1.82E-01,,
C18orf8,113,8,1.82E-01,,
CSNK2A1,47,1,1.82E-01,,
STAT5A,100,6,1.82E-01,,
NOX3,109,26,1.82E-01,,
CHST2,81,6,1.82E-01,,
NCOA1,216,4,1.82E-01,,
DCLK2,105,4,1.82E-01,brain,
RASL11B,54,2,1.82E-01,,
RNF17,197,4,1.83E-01,,
UNC13B,229,30,1.83E-01,,
ZBTB34,93,2,1.83E-01,,
ADSL,64,16,1.83E-01,skeletal_muscle,YES
EDN1,29,3,1.83E-01,,
FGF21,44,3,1.83E-01,liver,
GPRC5C,114,13,1.83E-01,,
DCAF6,128,6,1.83E-01,skeletal_muscle,
ATP6V0B,45,2,1.83E-01,,
EIF4A2,70,2,1.83E-01,,
UST,64,2,1.83E-01,,
MAP3K3,97,2,1.83E-01,,
F13A1,120,19,1.83E-01,,
PIK3CD,216,6,1.83E-01,,
DPYSL4,143,18,1.83E-01,,
BZW2,82,3,1.84E-01,,
PIAS2,90,2,1.84E-01,,
GJA4,58,7,1.84E-01,,
SLC7A6,92,10,1.84E-01,,
ATP5C1,32,5,1.84E-01,,
FIBIN,27,2,1.84E-01,,
SLC45A1,186,11,1.84E-01,,
MRPS5,71,10,1.84E-01,,
AQP9,47,4,1.84E-01,whole_blood,
MMGT1,20,1,1.84E-01,,
ID3,42,2,1.84E-01,,
RAF1,90,5,1.84E-01,,YES
SPOCK2,76,3,1.84E-01,,
PRPF8,464,19,1.84E-01,,
PTBP1,200,4,1.84E-01,,
TNFSF14,41,2,1.85E-01,liver,
SLC12A8,162,34,1.85E-01,thyroid,
FERD3L,32,2,1.85E-01,,
EVL,68,3,1.85E-01,,
SPIN3,24,1,1.85E-01,,
SAR1A,22,1,1.85E-01,,
PRDM10,214,4,1.85E-01,,
KRT82,116,32,1.85E-01,,
PLOD2,99,17,1.85E-01,,YES
TYROBP,29,4,1.85E-01,whole_blood,YES
POU2F2,103,7,1.85E-01,,
C1GALT1,58,2,1.85E-01,,
BAG5,68,8,1.85E-01,,
IFITM3,22,1,1.85E-01,,
CHIC2,20,1,1.86E-01,,
AP2S1,22,1,1.86E-01,,YES
BCL2L11,35,3,1.86E-01,,
RASSF8,52,4,1.86E-01,,
DUSP7,89,4,1.86E-01,,
NHLRC1,57,6,1.86E-01,,YES
TROAP,142,30,1.86E-01,,
HTR2A,81,2,1.86E-01,,
TNFRSF14,71,4,1.86E-01,,
LRFN3,155,4,1.86E-01,,
LRRTM3,73,2,1.86E-01,brain,
NPR1,125,15,1.86E-01,,
SMARCC1,142,3,1.86E-01,,
SERPINB6,63,9,1.86E-01,,
CNTNAP2,241,23,1.86E-01,brain,
IGF2BP1,86,2,1.87E-01,,
GANC,137,57,1.87E-01,,
KRTAP9-3,25,1,1.87E-01,,
FICD,116,14,1.87E-01,,
CGA,17,1,1.87E-01,,
SLC5A4,91,30,1.87E-01,,
ARIH2,75,5,1.87E-01,,
SLC19A1,158,16,1.87E-01,,
MYO1A,157,70,1.87E-01,colon,
HSPA5,78,2,1.87E-01,,
KDM6A,112,3,1.87E-01,,
MEGF6,382,54,1.87E-01,,
GLCCI1,67,5,1.87E-01,,
E4F1,226,5,1.87E-01,,
HPCAL1,44,2,1.88E-01,,
RNF121,54,2,1.88E-01,,
GABRE,53,6,1.88E-01,,
APBA1,174,4,1.88E-01,brain,
PFKFB2,82,11,1.88E-01,,
GKAP1,42,6,1.88E-01,,
SGCB,46,7,1.88E-01,,YES
ACOX3,143,34,1.88E-01,,
KRT73,104,24,1.88E-01,skin,
UBE2F,28,1,1.88E-01,,
SRL,141,8,1.88E-01,,
ZFPM2,140,2,1.88E-01,,YES
MED7,20,2,1.88E-01,,
HBG2,1,1,1.88E-01,whole_blood,
ACOX1,110,11,1.88E-01,,YES
DTD1,28,2,1.89E-01,,
CRAT,132,21,1.89E-01,,
DLX2,39,3,1.89E-01,,
ZNF281,121,3,1.89E-01,,
PBX1,53,3,1.89E-01,,
FAF1,81,6,1.89E-01,,
INTU,111,24,1.89E-01,,
C1S,102,6,1.89E-01,,
LIPC,113,17,1.89E-01,liver,
ROR1,103,5,1.89E-01,,
VSNL1,25,1,1.89E-01,brain,
CCND1,62,2,1.89E-01,,YES
JAK2,153,11,1.89E-01,,YES
CYP4F11,113,26,1.89E-01,liver,
REEP4,79,9,1.90E-01,,
MAN2B1,120,22,1.90E-01,,
CDK2AP2,19,1,1.90E-01,,
MAGEE1,114,3,1.90E-01,brain,
RPRM,20,1,1.90E-01,,
DRD1,69,2,1.90E-01,brain,
EPHB1,174,4,1.90E-01,,
ASAP1,184,4,1.90E-01,,
EFNA3,30,2,1.90E-01,skin,
KRT33A,71,21,1.90E-01,,
KRAS,24,5,1.90E-01,,YES
ANKRD13C,74,2,1.90E-01,,
BCAP29,53,11,1.90E-01,,
KHSRP,55,1,1.90E-01,,
CLTC,181,4,1.90E-01,,
RASA3,192,13,1.91E-01,,
PAM,144,15,1.91E-01,,
DTX3,57,2,1.91E-01,,
PLXNA4,430,8,1.91E-01,,
FKBP4,72,5,1.91E-01,,
CNOT1,330,6,1.91E-01,,
RUSC2,245,5,1.91E-01,,
ARHGEF2,151,3,1.91E-01,,
DYM,99,20,1.91E-01,,YES
TYRP1,93,43,1.91E-01,heart,YES
MUT,89,35,1.91E-01,,
KRT17,33,7,1.91E-01,skin,YES
INA,67,5,1.91E-01,brain,
YPEL1,22,1,1.91E-01,,
KRT38,96,16,1.92E-01,,
TRPV3,184,28,1.92E-01,,
TFE3,59,2,1.92E-01,,
HNRNPU,129,3,1.92E-01,,
SLC19A3,65,12,1.92E-01,,YES
TMEM174,46,5,1.92E-01,,
BRIX1,30,1,1.92E-01,,
ILF3,205,4,1.92E-01,,
KRT33B,63,14,1.92E-01,,
LRP10,114,14,1.92E-01,,
RING1,71,4,1.92E-01,,
SEC61A2,70,8,1.92E-01,,
BAZ1A,178,7,1.92E-01,,
TWF2,36,1,1.92E-01,,
PPP4R2,69,2,1.92E-01,,
ESRRB,93,7,1.93E-01,,
CNRIP1,31,3,1.93E-01,,
LMCD1,69,8,1.93E-01,,
FAM53B,84,5,1.93E-01,,
TIMM50,90,10,1.93E-01,,
DRAP1,52,4,1.93E-01,,
NUDT11,23,1,1.93E-01,brain,
FHL3,46,5,1.93E-01,skeletal_muscle,
CRTC1,135,3,1.93E-01,,
RNASEH2B,41,17,1.93E-01,,
WDR48,105,3,1.93E-01,,
PTPN9,75,4,1.93E-01,,
PBX3,61,6,1.93E-01,,
ATP6V0D1,78,3,1.93E-01,,
HMGCS2,93,19,1.94E-01,,
CDH8,126,3,1.94E-01,brain,
ITCH,122,4,1.94E-01,,
PPP2R2C,107,3,1.94E-01,brain,
FGB,70,5,1.94E-01,liver,
MRI1,69,12,1.94E-01,,
VNN1,77,20,1.94E-01,,
UBE2S,27,1,1.94E-01,,
CGGBP1,22,1,1.94E-01,,
TNF,38,2,1.94E-01,,
RBM25,109,3,1.94E-01,,
NDUFS8,60,5,1.94E-01,,YES
CCDC132,110,12,1.94E-01,,
SLC7A9,103,21,1.94E-01,liver,YES
TMEM65,24,1,1.94E-01,,
MIP,37,3,1.95E-01,,
TRPC3,124,14,1.95E-01,,
ILK,78,16,1.95E-01,,
KRT85,97,12,1.95E-01,,
HEATR1,321,6,1.95E-01,,
CLIP3,95,3,1.95E-01,brain,
POU2F3,63,8,1.95E-01,skin,
KRT35,85,10,1.95E-01,,
GDF10,96,4,1.95E-01,,
DLX3,48,4,1.95E-01,skin,YES
DAAM2,160,6,1.95E-01,,
LDLRAD3,54,7,1.95E-01,,
DNAL4,16,1,1.95E-01,,
CDV3,18,3,1.95E-01,,
C10orf12,176,4,1.96E-01,,
KIAA2022,130,3,1.96E-01,,
TNFRSF10B,77,20,1.96E-01,,YES
MYH15,237,93,1.96E-01,,
GABRG3,90,4,1.96E-01,,
HSD17B1,61,11,1.96E-01,,
OPALIN,20,6,1.96E-01,brain,
KDR,224,11,1.96E-01,,
CD14,64,12,1.96E-01,,
ADRA1B,68,3,1.96E-01,,
TMPRSS11A,58,23,1.96E-01,esophagus,
FAM135B,234,5,1.96E-01,brain,
ACADS,87,15,1.96E-01,,
FHL5,38,14,1.96E-01,,
FAM192A,39,2,1.96E-01,,
COL4A3BP,97,4,1.97E-01,,
ATP6AP2,30,1,1.97E-01,,
LPL,86,15,1.97E-01,,
SGTB,28,1,1.97E-01,,
ZNF384,90,2,1.97E-01,,
CCDC12,33,2,1.97E-01,,
OLFML2A,134,14,1.97E-01,,
PSMD11,70,3,1.97E-01,,
VPS4A,31,1,1.97E-01,,
BET1L,25,3,1.97E-01,,
NOTUM,94,10,1.97E-01,,
TIMP2,35,2,1.97E-01,,
RTN4R,105,3,1.97E-01,,
GRB10,98,8,1.97E-01,,
SLC5A11,135,22,1.98E-01,brain,
ATL1,74,4,1.98E-01,,YES
CACNG4,58,3,1.98E-01,brain,
RBMX2,26,1,1.98E-01,,
HNRNPA3,53,3,1.98E-01,,
NOVA1,82,2,1.98E-01,,
RAD54B,83,26,1.98E-01,,
VAV2,190,12,1.98E-01,,
MYO5C,251,57,1.98E-01,,
NDUFAF4,29,2,1.98E-01,,YES
TMEM229B,34,2,1.98E-01,,
AMDHD2,194,41,1.98E-01,,
GMDS,48,3,1.98E-01,,
DOLK,94,9,1.98E-01,,
SON,412,8,1.98E-01,,
POLD3,56,7,1.99E-01,,
NFE2L2,77,2,1.99E-01,,
KLK13,63,8,1.99E-01,skin,
KRT84,105,19,1.99E-01,,
NKX2-2,57,4,1.99E-01,,
TMEM53,53,5,1.99E-01,,
KLHL3,95,4,1.99E-01,,
VAV1,133,5,1.99E-01,,
AQP5,51,7,1.99E-01,,
PITPNB,24,1,1.99E-01,,
KRT12,68,21,1.99E-01,colon,
OLFML2B,130,27,1.99E-01,,
FBXW2,80,3,1.99E-01,,
AQP2,69,13,1.99E-01,,
C21orf59,9,1,2.00E-01,,
TOLLIP,67,3,2.00E-01,,
SLC1A6,112,3,2.00E-01,brain,
DCAF8L1,74,3,2.00E-01,,
KDM6B,340,7,2.00E-01,,
ADIPOQ,36,13,2.00E-01,,
ADCY5,245,8,2.00E-01,,
AMBRA1,188,8,2.00E-01,,
SEC62,42,2,2.00E-01,,
KLHL28,84,4,2.00E-01,,
TULP2,96,25,2.00E-01,,
KLF15,60,2,2.00E-01,,
NANOG,25,2,2.00E-01,,
SPEM1,50,4,2.00E-01,,
TNFSF13,8,2,2.00E-01,,
SLC26A10,108,28,2.01E-01,,
AFG3L2,112,16,2.01E-01,,YES
CADM2,78,2,2.01E-01,brain,
CCNB1IP1,42,9,2.01E-01,,
GGT7,119,3,2.01E-01,,
SPRYD3,61,3,2.01E-01,,
PRKCD,117,3,2.01E-01,,
PPP1R13B,203,5,2.01E-01,,
CHAD,63,3,2.01E-01,,
KIAA1737,61,2,2.01E-01,,
ALKBH4,61,2,2.01E-01,,
CORIN,158,59,2.01E-01,heart,
DCAF4L1,85,3,2.01E-01,,
BRD2,191,4,2.01E-01,,
XYLT1,180,4,2.02E-01,,YES
MMP2,128,5,2.02E-01,,YES
GSTCD,75,22,2.02E-01,,
LPGAT1,35,2,2.02E-01,,
ALK,325,21,2.02E-01,brain,
ZBTB47,89,2,2.02E-01,,
HTR3A,113,20,2.02E-01,,
ANK3,649,12,2.02E-01,,
NPR2,156,11,2.02E-01,,YES
CRCP,6,1,2.02E-01,,
MAPKAPK2,78,2,2.02E-01,,
DGKD,243,15,2.02E-01,,
RAI1,420,9,2.02E-01,,YES
SLC26A2,80,28,2.02E-01,colon,YES
MORC3,126,4,2.02E-01,,
TMEM72,50,4,2.03E-01,colon,
RDX,77,12,2.03E-01,adrenal_gland,
HMGCR,96,5,2.03E-01,,
MITF,79,5,2.03E-01,,YES
DSCR3,59,4,2.03E-01,,
MYO7B,371,53,2.03E-01,,
GAL3ST1,109,3,2.03E-01,,
TRAM1,56,4,2.03E-01,,
TOX,74,2,2.03E-01,,
DCLK3,108,3,2.03E-01,nerve_tibial,
TWISTNB,46,4,2.03E-01,,
B4GALT1,61,2,2.03E-01,,YES
MFSD6L,107,20,2.03E-01,,
CTH,54,16,2.03E-01,liver,YES
PPT1,50,13,2.04E-01,,YES
BCKDHA,120,23,2.04E-01,,YES
IL31,38,3,2.04E-01,,
ZNF217,220,5,2.04E-01,,
LUC7L,59,7,2.04E-01,,
CLDN6,58,5,2.04E-01,,
DISP2,234,12,2.04E-01,,
NRXN2,294,6,2.04E-01,brain,
MTA2,113,6,2.04E-01,,
ZNF513,111,3,2.04E-01,,
COPZ1,34,2,2.04E-01,,
ATP8A1,143,18,2.04E-01,,
TIMP1,43,4,2.04E-01,,
SERPINB13,75,11,2.04E-01,skin,
PGRMC1,24,1,2.04E-01,,
NRARP,21,1,2.05E-01,colon,
GPR45,65,2,2.05E-01,brain,
SYNC,45,7,2.05E-01,,
AFF2,141,3,2.05E-01,,
IFFO1,90,11,2.05E-01,,
HDGFRP3,23,1,2.05E-01,,
MIOX,108,26,2.05E-01,thyroid,
KLHDC10,54,2,2.05E-01,,
RCE1,75,5,2.05E-01,,
SULT1A1,55,23,2.05E-01,,
ATL2,88,7,2.05E-01,,
HRAS,59,7,2.05E-01,,YES
SFTPA1,26,6,2.05E-01,lung,
CDC42SE2,15,1,2.05E-01,,
KIF1B,301,13,2.06E-01,,YES
ADAM10,89,4,2.06E-01,,YES
TMEM39B,99,14,2.06E-01,,
AP2M1,68,2,2.06E-01,,
UPP1,70,13,2.06E-01,whole_blood,
AMHR2,72,20,2.06E-01,adrenal_gland,YES
MCCC2,73,16,2.06E-01,,
RAG2,55,13,2.06E-01,,YES
KCNIP3,56,2,2.06E-01,,
HOXB5,42,3,2.06E-01,colon,
NKX6-3,22,1,2.06E-01,,
MB,26,2,2.06E-01,,
TNFRSF10D,62,13,2.06E-01,,
G0S2,14,1,2.06E-01,,
SPEN,567,11,2.06E-01,,
ABLIM1,140,12,2.07E-01,,
CD8B,26,4,2.07E-01,,
PMM2,60,21,2.07E-01,,
ECEL1,142,19,2.07E-01,adrenal_gland,
F11,96,38,2.07E-01,liver,
KLF3,62,2,2.07E-01,,
MEMO1,30,2,2.07E-01,,
HEPHL1,184,59,2.07E-01,,
DMWD,28,1,2.07E-01,,
B3GNT2,58,2,2.07E-01,,
KCTD16,63,2,2.07E-01,,
KRT71,102,18,2.07E-01,,
RIMKLA,46,4,2.07E-01,,
MARCH6,122,3,2.07E-01,,
NDUFS1,92,27,2.08E-01,,YES
SIAE,78,33,2.08E-01,,
RDH11,56,5,2.08E-01,,
CATSPER3,53,16,2.08E-01,,
SCO1,50,5,2.08E-01,,
DGUOK,41,10,2.08E-01,,
THYN1,30,23,2.08E-01,,
SH3GLB1,48,2,2.08E-01,,
KATNAL2,87,19,2.08E-01,,
GRIK4,161,9,2.08E-01,,
HSD17B13,38,13,2.08E-01,liver,
RNF213,903,110,2.08E-01,,
TPSD1,69,17,2.08E-01,,
CTNNB1,92,2,2.08E-01,,YES
PEAR1,181,36,2.08E-01,,
FGF12,35,2,2.09E-01,,
SERPINB9,65,8,2.09E-01,,
MYOC,88,22,2.09E-01,,YES
SLC6A3,154,4,2.09E-01,,YES
CLDN18,57,11,2.09E-01,stomach,
HSF4,111,23,2.09E-01,,YES
ADD3,90,2,2.09E-01,,
LMO3,18,1,2.09E-01,,
TYK2,218,22,2.09E-01,,
ARPP19,16,1,2.09E-01,,
PKIB,13,2,2.09E-01,,
LRRC7,229,5,2.09E-01,,
DOK4,70,6,2.09E-01,,
DHRS1,42,19,2.09E-01,,
SERPINB3,63,22,2.10E-01,,
DMRTC2,71,6,2.10E-01,whole_blood,
KRT20,82,17,2.10E-01,colon,
GHR,79,14,2.10E-01,,
CLDN1,36,3,2.10E-01,,YES
KRTAP21-1,12,1,2.10E-01,,
MTHFR,133,21,2.10E-01,,YES
MRE11A,98,18,2.10E-01,,
ANAPC11,43,5,2.10E-01,,
PRICKLE3,68,5,2.10E-01,,
FAM102A,74,3,2.10E-01,,
SF3A1,126,3,2.10E-01,,
KLF7,72,3,2.10E-01,,
EPHB3,208,7,2.10E-01,,
FAF2,54,3,2.10E-01,,
NIPAL4,84,8,2.11E-01,skin,
C1QB,50,3,2.11E-01,spleen,
PLG,123,18,2.11E-01,liver,
TNFRSF11B,56,5,2.11E-01,,
ACLY,172,14,2.11E-01,,
PRSS23,70,11,2.11E-01,,
TAF15,115,17,2.11E-01,,YES
KIAA1598,73,5,2.11E-01,brain,
ATP5D,32,5,2.11E-01,,
SLC25A12,98,5,2.11E-01,,
TRIM32,98,11,2.11E-01,,YES
MTF1,111,3,2.11E-01,,
C1orf43,41,7,2.11E-01,,
SPATA5L1,109,29,2.11E-01,,
JHDM1D,117,4,2.12E-01,,
BDNF,41,1,2.12E-01,,
SCD,65,2,2.12E-01,,
PLA1A,78,13,2.12E-01,,
EIF2S1,31,2,2.12E-01,,
TCEAL2,26,1,2.12E-01,,
PI4KB,131,5,2.12E-01,,
OXCT1,68,7,2.12E-01,,YES
AGPAT4,90,6,2.12E-01,,
BCL2L14,53,10,2.12E-01,,
HOXA9,56,6,2.12E-01,,
PCDH9,175,4,2.12E-01,brain,
MPPED1,75,2,2.12E-01,liver,
PTMA,38,3,2.12E-01,,
RNF130,61,2,2.12E-01,,
ZFP91,69,2,2.13E-01,,
PDYN,39,11,2.13E-01,brain,YES
WDR37,101,3,2.13E-01,,
SERPINA11,84,15,2.13E-01,liver,
MAN1A2,89,4,2.13E-01,,
CDKN1B,66,4,2.13E-01,,
C19orf54,30,3,2.13E-01,,
PANK1,95,12,2.13E-01,liver,
VPS4B,66,6,2.13E-01,,
FAM169A,86,3,2.13E-01,brain,
ZNF496,113,3,2.13E-01,,
GDAP1,55,15,2.13E-01,brain,YES
LRRC41,123,6,2.13E-01,,
CCRN4L,60,2,2.13E-01,,
AGPAT1,33,2,2.14E-01,,
CYC1,65,2,2.14E-01,,
TRIP4,77,21,2.14E-01,,
TNNT3,47,12,2.14E-01,skeletal_muscle,
RCAN1,46,5,2.14E-01,,
STAG1,162,4,2.14E-01,,
EIF3I,61,3,2.14E-01,,
HNF4G,68,6,2.14E-01,colon,
LONRF3,81,4,2.14E-01,,
FAM155A,70,4,2.14E-01,brain,
KRTAP12-3,20,1,2.14E-01,,
PDGFC,51,2,2.14E-01,,
CAPN5,139,21,2.14E-01,,
FMNL3,162,14,2.14E-01,,
ATP11C,83,6,2.14E-01,,
HOXA1,60,4,2.15E-01,,YES
TLE1,165,4,2.15E-01,,
GPAA1,139,18,2.15E-01,,
PLK1,110,3,2.15E-01,,
UGCG,52,3,2.15E-01,,
CISD2,17,1,2.15E-01,,
JPH1,114,3,2.15E-01,skeletal_muscle,
BMP15,33,3,2.15E-01,,
PRSS38,71,10,2.15E-01,,
CRADD,50,3,2.15E-01,,
P4HTM,90,13,2.15E-01,,
C19orf44,120,29,2.15E-01,,
VPS28,64,6,2.15E-01,,
C5orf15,32,4,2.15E-01,,
RCAN2,31,2,2.16E-01,,
HTR1D,64,2,2.16E-01,brain,
TMCC2,154,4,2.16E-01,brain,
FAM19A2,16,1,2.16E-01,,
CLPP,62,4,2.16E-01,,
HOXA11,55,3,2.16E-01,,
PPAT,65,4,2.16E-01,,
KRT23,61,16,2.16E-01,,
SDC3,105,3,2.16E-01,,
U2AF2,116,3,2.16E-01,,
DNAJB1,112,4,2.16E-01,,
NAGS,84,10,2.16E-01,liver,
ZC3H18,211,5,2.16E-01,,
HAND1,37,3,2.16E-01,,
PRRG4,28,3,2.16E-01,,
CREB5,82,2,2.17E-01,,
SLC2A10,100,9,2.17E-01,,YES
MATR3,128,3,2.17E-01,,
EIF3J,23,1,2.17E-01,,
RNF138,29,2,2.17E-01,,
TMEM19,46,7,2.17E-01,,
SYCE2,34,2,2.17E-01,,
TCEAL5,23,1,2.17E-01,brain,
RTN1,119,3,2.17E-01,brain,
TELO2,203,20,2.17E-01,,
TAL2,12,1,2.17E-01,,
NFYA,49,6,2.17E-01,,
ARHGEF1,175,11,2.17E-01,,
FOXD4L1,30,6,2.17E-01,,
GXYLT1,53,4,2.17E-01,,
TNFRSF13B,60,26,2.18E-01,spleen,YES
QSER1,204,5,2.18E-01,,
HOXC10,54,4,2.18E-01,,
REV3L,394,8,2.18E-01,,
RNF152,44,4,2.18E-01,,
BFSP2,57,12,2.18E-01,spleen,
STOML3,37,17,2.18E-01,lung,
MYL3,33,3,2.18E-01,heart,
MKL1,219,7,2.18E-01,,
HBP1,69,6,2.18E-01,,
FLT3,142,10,2.18E-01,,
SLC4A5,199,29,2.18E-01,thyroid,
IKZF4,90,2,2.18E-01,,
ARSK,68,15,2.18E-01,,
ATG9A,168,4,2.19E-01,,
OLFM1,109,8,2.19E-01,,
CRBN,63,10,2.19E-01,,
PGAP1,106,17,2.19E-01,,
EFNB3,53,4,2.19E-01,brain,
TARBP2,75,4,2.19E-01,,
ATP5J,11,2,2.19E-01,,
KCNE3,13,1,2.19E-01,,
TGFB1,58,3,2.19E-01,,YES
MOBP,18,1,2.19E-01,brain,
PRKG2,109,6,2.19E-01,,
GPR20,82,3,2.19E-01,,
MAMSTR,52,8,2.19E-01,,
CD81,84,4,2.19E-01,,
HMX2,55,5,2.19E-01,colon,
TNNC1,34,2,2.20E-01,,
ZFC3H1,271,6,2.20E-01,,
HNRNPA1,45,4,2.20E-01,,
STRN4,158,5,2.20E-01,,
ZBTB4,195,5,2.20E-01,,
CHML,97,11,2.20E-01,,
DYRK1A,134,3,2.20E-01,,
RSRC2,76,3,2.20E-01,,
MYT1,214,5,2.20E-01,,
PCBP2,78,2,2.20E-01,,
CMIP,173,4,2.20E-01,,
RAC1,30,1,2.20E-01,,
TBX6,83,12,2.20E-01,,
RGMB,58,6,2.20E-01,,
NUDT10,22,1,2.21E-01,,
SLC5A8,113,24,2.21E-01,thyroid,
MAB21L2,48,2,2.21E-01,colon,
SERPINB2,18,6,2.21E-01,skin,
PLCG2,294,9,2.21E-01,,
SYS1,29,2,2.21E-01,,
AGAP3,193,6,2.21E-01,,
ATP6V1A,71,4,2.21E-01,,
KRT39,67,15,2.21E-01,,
CNGB3,103,31,2.21E-01,,YES
CAT,81,20,2.21E-01,,YES
SGPP2,66,6,2.21E-01,,
MSGN1,38,2,2.21E-01,,
UCHL1,50,2,2.21E-01,brain,
T,64,7,2.21E-01,thyroid,
ASXL3,278,4,2.22E-01,,
C3orf58,82,5,2.22E-01,,
DIAPH2,88,7,2.22E-01,,
RNF11,21,1,2.22E-01,,
SPCS2,24,1,2.22E-01,,
PPP1CB,39,2,2.22E-01,,
SEC24B,166,8,2.22E-01,,
NEU2,81,17,2.22E-01,,
ARHGDIA,77,8,2.22E-01,,
FGR,81,7,2.22E-01,whole_blood,
HLX,89,6,2.22E-01,,
ATF7,16,1,2.22E-01,,
JMY,100,4,2.22E-01,,
OLFML1,59,20,2.22E-01,,
TCTN3,68,21,2.23E-01,,
ARSH,66,17,2.23E-01,,
C15orf40,36,5,2.23E-01,,
RNF2,27,2,2.23E-01,,
HSD11B1,34,3,2.23E-01,liver,
ADIPOR1,54,3,2.23E-01,whole_blood,
HELLS,98,8,2.23E-01,,
VAC14,170,10,2.23E-01,,
EPHA7,131,6,2.23E-01,,
COPS8,25,3,2.23E-01,,
SIX6,37,4,2.23E-01,,YES
ITGB6,126,29,2.23E-01,lung,
NCK2,94,3,2.23E-01,,
NAP1L4,56,2,2.23E-01,,
PLEKHH3,117,12,2.23E-01,,
PLEKHF1,40,2,2.24E-01,,
MKLN1,84,5,2.24E-01,,
TBC1D20,54,2,2.24E-01,,
CDC40,67,3,2.24E-01,,
FNDC5,21,2,2.24E-01,,
MMEL1,149,36,2.24E-01,,
GATAD2A,149,4,2.24E-01,,
AXIN2,163,9,2.24E-01,,
DDI2,55,2,2.24E-01,,
MX1,117,27,2.24E-01,,
RASGEF1A,88,3,2.24E-01,,
CXorf65,22,1,2.24E-01,,
ERP29,48,8,2.24E-01,,
CNN2,91,7,2.24E-01,,
PHF7,60,6,2.25E-01,,
SYT2,71,2,2.25E-01,brain,
PCDH1,214,5,2.25E-01,,
AP3D1,274,7,2.25E-01,,
ARL4A,17,1,2.25E-01,,
SNRPD2,31,2,2.25E-01,,
RCC2,103,6,2.25E-01,,
TRPC6,124,18,2.25E-01,,
CPEB4,88,3,2.25E-01,,
LPXN,58,11,2.25E-01,,
GPR158,185,10,2.25E-01,brain,
POLR2H,31,2,2.25E-01,,
EMCN,29,11,2.25E-01,,
FER1L6,240,84,2.25E-01,,
SCD5,69,5,2.25E-01,,
STX6,36,4,2.26E-01,,
BRD3,170,4,2.26E-01,,
PYY,20,1,2.26E-01,colon,
